Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
021 Capital,VC,"Seed, Series A",,,,https://021.capital,,SEBI AIF1; IN/AIF1/17-18/0384,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
108 Capital Venture,VC,"Seed, Series A",,,,https://108.vc,,SEBI AIF2; IN/AIF2/23-24/1349,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
3One4 Capital India Internet Dynamics,VC,"Seed, Series A",,,,https://3one4capital.com,,SEBI AIF1; IN/AIF1/22-23/1215,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
77 East Venture,VC,"Seed, Series A",,,,https://77eastvp.com,,SEBI AIF1; IN/AIF1/23-24/1390,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
888vc Accelerator,Accelerator,"Pre-Seed, Seed",,,,https://888vc.co,,SEBI AIF1; IN/AIF1/24-25/1727,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
9Unicorns Accelerator,Accelerator,"Pre-Seed, Seed",,,,https://vcatsaccelerator.com,,SEBI AIF1; IN/AIF1/18-19/0663,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Aagama Ventures,VC,"Seed, Series A",,,,https://aagama.vc,,SEBI AIF2; IN/AIF2/25-26/1879,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Access India,VC,"Seed, Series A",,,,https://accesspe.in,,"SEBI AIF1; IN/AIF1/25-26/1947, IN/VCF/10-11/0203",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Advantedge Technology,VC,"Seed, Series A",,,,https://advantedge.vc,,SEBI AIF1; IN/AIF1/19-20/0754,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Aeravti Ventures,VC,"Seed, Series A",,,,https://aeravti.com,,SEBI AIF1; IN/AIF1/22-23/1169,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Alkemi Venture,VC,"Seed, Series A",,,,https://alkemivp.com,,"SEBI AIF2; IN/AIF2/18-19/0533, IN/AIF2/21-22/0984",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Allvest Growth Capital,PE,"Series B, Series C+",,,,https://allvest.co,,SEBI AIF2; IN/AIF2/26-27/2149,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Alyxis Venture Partners,VC,"Seed, Series A",,,,https://alyxisventures.com,,SEBI AIF2; IN/AIF2/24-25/1504,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Angel One Alternative Investment,Angel,"Pre-Seed, Seed",,,,https://angeloneim.in,,SEBI AIF2; IN/AIF2/24-25/1750,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Ankur Capital,VC,"Seed, Series A",,,,https://ankurcapital.com,,"SEBI AIF1; IN/AIF1/19-20/0670, IN/AIF1/23-24/1313",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Anthill Capital Ventures,VC,"Seed, Series A",,,,https://anthillventures.com,,"SEBI AIF1; IN/AIF1/18-19/0559, IN/AIF1/22-23/1072",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Antler Innovation India,VC,"Seed, Series A",,,,https://antler.co,,SEBI AIF2; IN/AIF2/21-22/0885,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Arali Ventures,VC,"Seed, Series A",,,,https://araliventures.in,,"SEBI AIF1; IN/AIF1/18-19/0554, IN/AIF1/22-23/1050",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Art Ventures,VC,"Seed, Series A",,,,https://artpark.in,,"SEBI AIF1; IN/AIF1/24-25/1558, IN/AIF2/22-23/1097",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Artha Continuum,VC,"Seed, Series A",,,,https://arthagroupofcompanies.com,,SEBI AIF1; IN/AIF1/23-24/1281,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Artha Venture,VC,"Seed, Series A",,,,https://artha.vc,,SEBI AIF1; IN/AIF1/17-18/0522,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Artha99 Investment AIF,VC,"Seed, Series A",,,,https://artha99.vc,,SEBI AIF1; IN/AIF1/22-23/1067,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Asha Ventures,VC,"Seed, Series A",,,,https://ashaventures.in,,SEBI AIF2; IN/AIF2/22-23/1143,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Athera,VC,"Seed, Series A",,,,https://atheravp.com,,SEBI AIF1; IN/AIF1/22-23/1140,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Audacity Venture Capital,VC,"Seed, Series A",,,,https://audacityvc.com,,SEBI AIF2; IN/AIF2/22-23/1148,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
AudTen Capital,VC,"Seed, Series A",,,,https://audten.vc,,SEBI AIF1; IN/AIF1/25-26/2015,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Aum Ventures Investment,VC,"Seed, Series A",,,,https://aumvc.com,,SEBI AIF2; IN/AIF2/25-26/2048,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Auxano Entrepreneur,VC,"Seed, Series A",,,,https://auxano.in,,SEBI AIF1; IN/AIF1/19-20/0741,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Avaana Capital Seed,VC,"Seed, Series A",,,,https://avaanacapital.com,,SEBI AIF2; IN/AIF2/22-23/1034,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
