Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
021 Capital,VC,"Seed, Series A",,,,https://021.capital,,SEBI AIF1; regs: IN/AIF1/17-18/0384,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
108 Capital Venture Fund,VC,"Seed, Series A",,,,https://108.vc,,SEBI AIF2; regs: IN/AIF2/23-24/1349,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
1Funds,VC,"Seed, Series A",,,,https://1crowd.co,,SEBI AIF1; regs: IN/AIF1/22-23/1078,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
360 ONE Asset Angel,Angel,"Pre-Seed, Seed",,,,https://mumbaiangels.com,,SEBI AIF1; regs: IN/AIF1/21-22/1011,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
360 ONE Venture Capital,VC,"Seed, Series A",,,,https://scaleventurecap.com,,SEBI AIF2; regs: IN/AIF2/20-21/0838,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Iidea Fund,VC,"Seed, Series A",,,,https://3one4capital.com,,"SEBI AIF1; regs: IN/AIF1/22-23/1215, IN/AIF1/25-26/1780, IN/AIF1/25-26/1998",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
77 East Venture Fund,VC,"Seed, Series A",,,,https://77eastvp.com,,SEBI AIF1; regs: IN/AIF1/23-24/1390,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
888vc Accelerator Fund,Accelerator,"Pre-Seed, Seed",,,,https://888vc.co,,SEBI AIF1; regs: IN/AIF1/24-25/1727,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
GrowX Ventures,VC,"Seed, Series A",,,,https://nishithdesai.com,,"SEBI AIF2; regs: IN/AIF1/18-19/0599, IN/AIF1/19-20/0709, IN/AIF1/19-20/0716 (+6 schemes)",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
9Unicorns Accelerator Fund,Accelerator,"Pre-Seed, Seed",,,,https://vcatsaccelerator.com,,SEBI AIF1; regs: IN/AIF1/18-19/0663,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Aagama Ventures,VC,"Seed, Series A",,,,https://aagama.vc,,SEBI AIF2; regs: IN/AIF2/25-26/1879,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Abhi Incubation Angel Fund,Angel,"Pre-Seed, Seed",,,,https://pushya.net,,SEBI AIF1; regs: IN/AIF1/24-25/1514,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Access India Fund,VC,"Seed, Series A",,,,https://accesspe.in,,SEBI AIF1; regs: IN/AIF1/25-26/1947,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Advantedge Technology Fund,VC,"Seed, Series A",,,,https://advantedge.vc,,SEBI AIF1; regs: IN/AIF1/19-20/0754,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Aeravti Ventures,VC,"Seed, Series A",,,,https://aeravti.com,,SEBI AIF1; regs: IN/AIF1/22-23/1169,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
AH Ventures Angel,Angel,"Pre-Seed, Seed",,,,https://ahventures.in,,SEBI AIF1; regs: IN/AIF1/22-23/1075,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Aikyam Stressed Assets,VC,"Seed, Series A",,,,https://aikyamcap.com,,SEBI AIF1; regs: IN/AIF1/24-25/1749,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
AL Access,VC,"Seed, Series A",,,,https://angel.co,,SEBI AIF1; regs: IN/AIF1/18-19/0650,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Alacrity India Fund,VC,"Seed, Series A",,,,https://legalogic.co.in,,SEBI AIF1; regs: IN/AIF1/18-19/0534,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Alkemi Venture,VC,"Seed, Series A",,,,https://alkemivp.com,,"SEBI AIF2; regs: IN/AIF2/18-19/0533, IN/AIF2/21-22/0984",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Allvest Growth Capital,PE,"Series B, Series C+",,,,https://allvest.co,,SEBI AIF2; regs: IN/AIF2/26-27/2149,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
LV Angel Fund,Angel,"Pre-Seed, Seed",,,,https://letsventure.com,,"SEBI AIF1; regs: IN/AIF1/18-19/0585, IN/AIF1/23-24/1280",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Alyxis Venture Partners,VC,"Seed, Series A",,,,https://alyxisventures.com,,SEBI AIF2; regs: IN/AIF2/24-25/1504,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Ananta Capital Ventures,VC,"Seed, Series A",,,,https://famygroup.com,,SEBI AIF2; regs: IN/AIF2/22-23/1093,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Angel One Alternative Investment,Angel,"Pre-Seed, Seed",,,,https://angeloneim.in,,SEBI AIF2; regs: IN/AIF2/24-25/1750,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Ankur Capital,VC,"Seed, Series A",,,,https://ankurcapital.com,,"SEBI AIF1; regs: IN/AIF1/19-20/0670, IN/AIF1/23-24/1313",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Assam Laghu Vikas,VC,"Seed, Series A",,,,https://sidbiventure.co.in,,"SEBI AIF1; regs: IN/AIF1/22-23/1114, IN/AIF1/22-23/1116, IN/AIF1/22-23/1117 (+2 schemes)",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Anthill Angel Funds,Angel,"Pre-Seed, Seed",,,,https://anthillventures.com,,"SEBI AIF1; regs: IN/AIF1/18-19/0559, IN/AIF1/22-23/1072",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Antler Innovation India,VC,"Seed, Series A",,,,https://antler.co,,SEBI AIF2; regs: IN/AIF2/21-22/0885,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Arali Investment,VC,"Seed, Series A",,,,https://seedx.in,,SEBI AIF1; regs: IN/AIF1/18-19/0554,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Arali Ventures,VC,"Seed, Series A",,,,https://araliventures.in,,SEBI AIF1; regs: IN/AIF1/22-23/1050,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Art Venture Fund,VC,"Seed, Series A",,,,https://artpark.in,,SEBI AIF2; regs: IN/AIF2/22-23/1097,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Artha Continuum Fund,VC,"Seed, Series A",,,,https://arthagroupofcompanies.com,,SEBI AIF1; regs: IN/AIF1/23-24/1281,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Artha Venture,VC,"Seed, Series A",,,,https://artha.vc,,SEBI AIF1; regs: IN/AIF1/17-18/0522,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Artha99 Investment AIF,VC,"Seed, Series A",,,,https://artha99.vc,,SEBI AIF1; regs: IN/AIF1/22-23/1067,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Asha Ventures,VC,"Seed, Series A",,,,https://ashaventures.in,,SEBI AIF2; regs: IN/AIF2/22-23/1143,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Athera,VC,"Seed, Series A",,,,https://atheravp.com,,SEBI AIF1; regs: IN/AIF1/22-23/1140,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Audacity Venture Capital Fund,VC,"Seed, Series A",,,,https://audacityvc.com,,SEBI AIF2; regs: IN/AIF2/22-23/1148,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
AudTen Capital,VC,"Seed, Series A",,,,https://audten.vc,,SEBI AIF1; regs: IN/AIF1/25-26/2015,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
